"","gtip","X","treename","traitname","pcr","competence","gen","fam","ord","clade","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal","studied"
"1","Abditomys",1,"Abditomys","Abditomys",0,0,"Abditomys","MURIDAE","RODENTIA","Mouse-related",268.09,2.91,228,NA,971.896,NA,124.913,NA,166.631,35.373,NA,2.328,3.686,55.581,NA,27.621,NA,649.101,0.514,NA,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18.5660300500978,0
"2","Abeomelomys",2,"Abeomelomys","Abeomelomys",0,0,"Abeomelomys","MURIDAE","RODENTIA","Mouse-related",57.89,1.49,158.645,NA,1186.332,NA,167.752,NA,194.735,36.734,4,1,2.362,90.95,NA,36.87,NA,745.935,0.221,NA,NA,NA,19,3,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3100,1400,1700,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,11.3380388349781,0
"3","Abrawayaomys",3,"Abrawayaomys","Abrawayaomys",0,0,"Abrawayaomys","CRICETIDAE","RODENTIA","Mouse-related",62.99,1.161,169.117,NA,1023.801,NA,85.15,NA,113.733,25.626,NA,3.843,3.261,35.812,NA,23.94,NA,525.742,0.232,NA,NA,NA,11,1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,13.6551888656817,0
"4","Abrocoma",4,"Abrocoma","Abrocoma",0,0,"Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related",221.82,3.232,201,NA,395.417,NA,248.153,NA,324.7475,112.269,NA,1.995,1.9465,117.668,12.755,39.7515,NA,1038.3835,0.463,102.5,NA,NA,0,0,100,0,0,0,0,0,0,0,0,0,100,1,3000,2425,470,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,0,0,1,0,0,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,20.5018451622583,0
"5","Abrothrix",5,"Abrothrix","Abrothrix",0,0,"Abrothrix","CRICETIDAE","RODENTIA","Mouse-related",34.5,0.929,140,NA,934.094,111.055,72.928,NA,102.767,23.826,NA,4.174,3.537,27.552,3.145,23.08,65.53,453.268,0.166,1598.3335,0,NA,55,0,44,30,0,0,0,0,0,0,0,0,70,2,2500,700,1800,2,NA,53.4,30.8,NA,0.000464461,NA,NA,NA,0,0.714285714285714,0,0,1,0,0,0.571428571428571,0.571428571428571,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.875,0,0,40,13.3732374435587,0
"6","Acinonyx",6,"Acinonyx","Acinonyx",1,1,"Acinonyx","FELIDAE","CARNIVORA","Feliformes",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4000,0,4000,4,9.03,17115,48900,465,94.38,250,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,519,2.4195577067256,1
"7","Acomys",7,"Acomys","Acomys",0,0,"Acomys","MURIDAE","RODENTIA","Mouse-related",43.6,1.594,175,NA,2731.417,58.5,58,59,103,38,5,2.47,3.5,33.977,5.49,14,12.58,696.6,1.108,331.042,5e-04,NA,0,30,70,0,0,0,0,30,0,0,0,0,70,2,1000,325,850,2,7.5,63.775,29.635,NA,0.0006290805,41.5,NA,NA,0,1,0,0,1,0,0.111111111111111,0.666666666666667,0,0.0476190476190476,0.238095238095238,0.714285714285714,0,1,0,0,1,0,0,0,0,0.888888888888889,0,0.111111111111111,0.714285714285714,0,0,0,0,0,0,0.333333333333333,3221899,26.5950170730894,0
"8","Aconaemys",8,"Aconaemys","Aconaemys",0,0,"Aconaemys","OCTODONTIDAE","RODENTIA","Guinea_pig-related",120.975,2.974,187,NA,1441.069,NA,235.973,NA,313.45,89.436,NA,3.23,2.049,105.035,NA,32.794,NA,842.583,0.332,NA,NA,NA,0,0,100,0,0,0,0,0,0,40,0,0,60,2,4000,NA,NA,2,NA,120.96,112,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,1,1,0,0,0.333333333333333,0,0.666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5.53842093146745,0
"9","Addax",9,"Addax","Addax",0,0,"Addax","BOVIDAE","CETARTIODACTYLA","Ruminantia",94288.68,201.5,1700,NA,10293,947.495,947.495,NA,1066.86,276,4,1,1,357.255,5600,198,NA,2555,12.92,0,NA,12.62,0,0,100,0,0,0,0,0,0,0,0,0,100,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,61.25,NA,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48,4.98137832147508,0
"10","Aegialomys",10,"Aegialomys","Aegialomys",0,0,"Aegialomys","CRICETIDAE","RODENTIA","Mouse-related",71.65,1.2285,162.9275,NA,795.2615,NA,82.7175,NA,112.267,26.7835,NA,3.8235,4.3515,35.6655,NA,22.905,NA,525.5665,0.2485,2290,NA,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,1800,500,1300,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,2,6.82732457147155,0
