"","treename","traitname","pcr","competence","antibodies","tip.label","clade","ord","fam","gen","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","dphy_invertebrate","dphy_vertebrate","dphy_plant","det_inv","det_vend","det_vect","det_vfish","det_vunk","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","habitat_breadth_n","X2.1_AgeatEyeOpening_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X7.1_DispersalAge_d","X22.2_HomeRange_Indiv_km2","X13.2_NeonateHeadBodyLen_mm","X10.1_PopulationGrpSize","X13.3_WeaningHeadBodyLen_mm","hibernation_torpor","fossoriality","freshwater","marine","terrestrial_non.volant","terrestrial_volant","island_dwelling","disected_by_mountains","glaciation","trophic_herbivores","trophic_omnivores","trophic_carnivores","activity_nocturnal","activity_crepuscular","activity_diurnal","forager_marine","forager_ground","forager_scansorial","forager_arboreal","forager_aerial","island_end_marine","island_end_mainland","island_end_lgbridge","island_end_isolated","biogeo_afrotropical","biogeo_antarctic","biogeo_australasian","biogeo_indomalayan","biogeo_nearctic","biogeo_neotropical","biogeo_oceanian","biogeo_palearctic","cites","ed_equal"
"1","Acinonyx","Acinonyx",1,1,0,"Acinonyx","Feliformes","Carnivora","Felidae","Acinonyx",50577.92,115.012,1490.215,NA,7482.5,741.97,598.985,456,1217.27,90.12,12,3.04,0.7,541.879,465.33,107,1940,2190,44.448,0.021,88.27,NA,0,100,0,0,100,0,0,0,0,0,0,0,0,1,4000,0,4000,4,9.03,17115,48900,465,94.38,250,NA,NA,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,517,5.51170944997328
"2","Ailurus","Ailurus",1,1,0,"Ailurus","Caniformes","Carnivora","Ailuridae","Ailurus",4747.54,42.491,608.66,NA,6935,604.05,571.903,550,760.41,123.437,4,2,1,364.75,102.02,136.935,1140,3650,2.497,NA,1.43,NA,10,10,80,10,10,0,0,0,0,10,0,10,60,1,4800,2500,2300,1,18,838.36,5345,270,1.52,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,154,26.2829786409906
"3","Allenopithecus","Allenopithecus",0,0,1,"Allenopithecus","Catarrhini","Primates","Cercopithecidae","Allenopithecus",4690,53.7,459.995,NA,10019.25,NA,1452.4,NA,1528.34,165.591,NA,1,0.931,470.453,221,106.15,NA,3723.024,2.48,NA,NA,40,50,0,50,50,0,0,0,0,0,50,0,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15,13.7164379813875
"4","Alouatta","Alouatta",1,1,0,"Alouatta","Platyrrhini","Primates","Atelidae","Alouatta",6330.555,55.442,737.605,NA,9125,1681.4915,1610.482,1103,1685.1075,187.384,NA,1.071,0.7905,486.4065,293.42,372,1100,3833.157,2.925,40.031,0.1,7.9,0,0,100,0,0,0,0,0,0,40,0,0,60,2,1160,10,1150,2,NA,2027.4,4670,NA,0.31,NA,NA,NA,0,0,0,0,1,0,0,0.555555555555556,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.785714285714286,0,0,814,37.763263845
"5","Apodemus","Apodemus",1,1,1,"Apodemus","Mouse-related","Rodentia","Muridae","Apodemus",27.0875,0.737,126.56,NA,1934.5,57.93,71,60.75,94.436,23.955,NA,5.18,3.085,39.973,2.3,22,8.7,572.689,0.152,1098.35,0.004,NA,20,0,80,20,0,0,0,0,0,20,0,20,40,4,2600,275,1750,2,NA,63.81,31.25,NA,0.0043683495,NA,NA,NA,0,0.904761904761905,0,0,1,0,0.142857142857143,1,0.285714285714286,0.0952380952380952,0.904761904761905,0,0.0476190476190476,0.857142857142857,0.0952380952380952,0,1,0,0,0,0,0.857142857142857,0.142857142857143,0,0,0,0,0.333333333333333,0,0,0,0.952380952380952,3213270,26.6270515732113
"6","Arvicola","Arvicola",0,0,1,"Arvicola","Mouse-related","Rodentia","Cricetidae","Arvicola",108.75,1.499,220,NA,1825,48.109,51.218,45,72.828,21.305,NA,5.08,3.21,31.978,5.43,14.761,42,596.379,0.313,57067.85,NA,NA,0,0,100,0,0,0,0,0,0,20,0,0,80,2,2400,0,2755,1,NA,113.1,97.5,NA,NA,NA,NA,NA,0,1,0.666666666666667,0,1,0,0,1,0.5,0.666666666666667,0.333333333333333,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,219,21.0525865951727
"7","Atherurus","Atherurus",0,0,1,"Atherurus","Guinea_pig-related","Rodentia","Hystricidae","Atherurus",2437.825,21.743,535.2475,NA,6656.6875,NA,461.8385,NA,561.601,106.9335,NA,1.5425,2.2235,176.7605,148.13,61.3165,NA,2061.8215,1.7235,0.6,0.12,1,0,0,100,0,0,0,0,0,0,20,0,0,80,2,3000,NA,NA,1.5,0,NA,NA,NA,0.1,180,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0.5,0,0,0,0.5,19,59.9499370720625
"8","Balaena","Balaena",1,0,0,"Balaena","Whippomorpha","Cetartiodactyla","Balaenidae","Balaena",8e+07,6042.615,13593.56,NA,77015,6041.21,6391.56,8212,8599.95,379.9,NA,1,0.3,1641.376,9e+05,352,NA,18980,NA,NA,NA,5,100,0,0,100,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,141,19.6056083545641
"9","Bos","Bos",1,1,1,"Bos","Ruminantia","Cetartiodactyla","Bovidae","Bos",683333.335,441.956,3000,NA,9563,755.15,746.916,550,825,274.766,NA,1,0.998,470.279,18000,210.101,NA,3285,38.402,0.861,10.04,40,0,0,100,0,0,0,0,0,0,0,0,0,100,1,2800,0,2100,2,NA,NA,NA,NA,NA,NA,21,NA,0,1,0,0,1,0,NA,NA,NA,1,0,0,0,0.2,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0.6,0,0,0,0.4,15906,15.427802716082
"10","Bubalus","Bubalus",1,1,0,"Bubalus","Ruminantia","Cetartiodactyla","Bovidae","Bubalus",224928.085,394.465,2015.0195,NA,10775.8325,755.15,748.8625,730,866.549,297.495,NA,1.007,1,435.8925,37500,215.928,NA,3102.5,20.8235,1.06,3.63,1,0,0,100,0,0,0,0,0,0,0,0,0,100,1,1650,0,1550,2,NA,NA,NA,1095,NA,NA,11,NA,0,1,0.25,0,1,0,0.666666666666667,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.166666666666667,0.166666666666667,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0,0,0,0,7926,15.427802968582
