"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"1",1,0.97650039745628,0.815353535353535,0.996363636363636,0,6943,15000,2,5e-04,4,1,"15000 2 5e-04 4","1","competence"
"2",2,0.971737982039091,0.857142857142857,0.996336996336996,0.0909090909090909,5609,15000,2,5e-04,4,2,"15000 2 5e-04 4","1","competence"
"3",3,0.9648705758056,0.886446886446886,0.996336996336996,0.0909090909090909,6216,15000,2,5e-04,4,3,"15000 2 5e-04 4","1","competence"
"4",4,0.968635398571704,0.814764492753623,1,0,4878,15000,2,5e-04,4,4,"15000 2 5e-04 4","1","competence"
"5",5,0.969482846902202,0.86970802919708,0.989051094890511,0,7134,15000,2,5e-04,4,5,"15000 2 5e-04 4","1","competence"
"6",6,0.968736359668267,0.86764705882353,1,0,5114,15000,2,5e-04,4,6,"15000 2 5e-04 4","1","competence"
"7",7,0.97831617201696,0.900371747211896,0.992565055762082,0.133333333333333,6682,15000,2,5e-04,4,7,"15000 2 5e-04 4","1","competence"
"8",8,0.954359450021825,0.885723039215686,0.99264705882353,0,3702,15000,2,5e-04,4,8,"15000 2 5e-04 4","1","competence"
"9",9,0.967590571802706,0.853860294117647,1,0.0833333333333333,6348,15000,2,5e-04,4,9,"15000 2 5e-04 4","1","competence"
"10",10,0.985283018867924,0.817164179104478,0.98134328358209,0.125,7219,15000,2,5e-04,4,10,"15000 2 5e-04 4","1","competence"
"11",11,0.98360492845787,0.822222222222222,0.996363636363636,0,5347,15000,3,5e-04,4,1,"15000 3 5e-04 4","2","competence"
"12",12,0.980190174326466,0.857808857808858,0.992673992673993,0.181818181818182,4888,15000,3,5e-04,4,2,"15000 3 5e-04 4","2","competence"
"13",13,0.9770206022187,0.884781884781885,1,0.0909090909090909,5738,15000,3,5e-04,4,3,"15000 3 5e-04 4","2","competence"
"14",14,0.976452422312295,0.821557971014493,1,0,4326,15000,3,5e-04,4,4,"15000 3 5e-04 4","2","competence"
