"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"1",1,0.964680036052276,0.871700255464093,1,0,3748,15000,2,5e-04,4,1,"15000 2 5e-04 4","1","competence"
"2",2,0.969242902208202,0.903207493613398,0.996309963099631,0.0769230769230769,5797,15000,2,5e-04,4,2,"15000 2 5e-04 4","1","competence"
"3",3,0.967512394284048,0.872222222222222,1,0,4960,15000,2,5e-04,4,3,"15000 2 5e-04 4","1","competence"
"4",4,0.953968513373645,0.944852941176471,0.996323529411765,0.0833333333333333,4400,15000,2,5e-04,4,4,"15000 2 5e-04 4","1","competence"
"5",5,0.960455159981974,0.897814362759012,1,0.0769230769230769,5024,15000,2,5e-04,4,5,"15000 2 5e-04 4","1","competence"
"6",6,0.979257377842283,0.86270136307311,0.992565055762082,0,5133,15000,2,5e-04,4,6,"15000 2 5e-04 4","1","competence"
"7",7,0.959755030621172,0.935978835978836,0.992592592592593,0.0714285714285714,5696,15000,2,5e-04,4,7,"15000 2 5e-04 4","1","competence"
"8",8,0.964342045966652,0.875106443372126,0.996309963099631,0,5282,15000,2,5e-04,4,8,"15000 2 5e-04 4","1","competence"
"9",9,0.967529026352556,0.905797101449275,0.978260869565217,0.375,6034,15000,2,5e-04,4,9,"15000 2 5e-04 4","1","competence"
"10",10,0.97504506534475,0.843599205222822,1,0.153846153846154,4642,15000,2,5e-04,4,10,"15000 2 5e-04 4","1","competence"
"11",11,0.975495718792249,0.875957990349134,1,0,3199,15000,3,5e-04,4,1,"15000 3 5e-04 4","2","competence"
"12",12,0.980114916629112,0.901504399659381,0.996309963099631,0.0769230769230769,4898,15000,3,5e-04,4,2,"15000 3 5e-04 4","2","competence"
"13",13,0.977311169437154,0.868253968253968,1,0,4019,15000,3,5e-04,4,3,"15000 3 5e-04 4","2","competence"
"14",14,0.968622323909135,0.946691176470588,0.996323529411765,0.0833333333333333,3895,15000,3,5e-04,4,4,"15000 3 5e-04 4","2","competence"
