"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2"
"1",1,0.987933629408486,0.973981863419106,0.999803574936162,0.65,14999,15000,2,5e-04,4,1,"15000 2 5e-04 4","1"
"2",2,0.989422371548095,0.966285600187628,1,0.709677419354839,15000,15000,2,5e-04,4,2,"15000 2 5e-04 4","1"
"3",3,0.987733891093612,0.972173231432491,0.999804036841074,0.770833333333333,14999,15000,2,5e-04,4,3,"15000 2 5e-04 4","1"
"4",4,0.988305627002867,0.968893478984141,0.999409448818898,0.704225352112676,15000,15000,2,5e-04,4,4,"15000 2 5e-04 4","1"
"5",5,0.985929418096478,0.966785189385611,0.999803265787921,0.588235294117647,14999,15000,2,5e-04,4,5,"15000 2 5e-04 4","1"
"6",6,0.987465886060401,0.974744897959184,1,0.618181818181818,15000,15000,2,5e-04,4,6,"15000 2 5e-04 4","1"
"7",7,0.984135429999086,0.979020214377627,0.999606995480448,0.725806451612903,15000,15000,2,5e-04,4,7,"15000 2 5e-04 4","1"
"8",8,0.983833262524783,0.980918729930588,0.999803227075954,0.681159420289855,15000,15000,2,5e-04,4,8,"15000 2 5e-04 4","1"
"9",9,0.987772943877688,0.981389263153619,0.999410956214412,0.741379310344828,14997,15000,2,5e-04,4,9,"15000 2 5e-04 4","1"
"10",10,0.980070152497301,0.974277263121683,1,0.65625,15000,15000,2,5e-04,4,10,"15000 2 5e-04 4","1"
"11",11,0.992488783648438,0.97882701499378,0.999214299744647,0.666666666666667,15000,15000,3,5e-04,4,1,"15000 3 5e-04 4","2"
"12",12,0.995823930414321,0.967673793571207,1,0.709677419354839,15000,15000,3,5e-04,4,2,"15000 3 5e-04 4","2"
"13",13,0.992040603840142,0.976049627669998,0.999412110523222,0.770833333333333,14997,15000,3,5e-04,4,3,"15000 3 5e-04 4","2"
"14",14,0.993043725754765,0.969931795497394,0.999212598425197,0.71830985915493,15000,15000,3,5e-04,4,4,"15000 3 5e-04 4","2"
"15",15,0.989566670892921,0.96812182476768,0.999803265787921,0.602941176470588,15000,15000,3,5e-04,4,5,"15000 3 5e-04 4","2"
"16",16,0.991672552240868,0.980432067932068,1,0.618181818181818,14996,15000,3,5e-04,4,6,"15000 3 5e-04 4","2"
"17",17,0.99110453482455,0.978609778205998,0.999213990960896,0.725806451612903,15000,15000,3,5e-04,4,7,"15000 3 5e-04 4","2"
"18",18,0.992147279702104,0.97985216364663,0.999803227075954,0.695652173913043,15000,15000,3,5e-04,4,8,"15000 3 5e-04 4","2"
"19",19,0.99120845604472,0.984302321644989,0.999214608285883,0.741379310344828,14997,15000,3,5e-04,4,9,"15000 3 5e-04 4","2"
"20",20,0.990239839281862,0.974499950855121,1,0.65625,15000,15000,3,5e-04,4,10,"15000 3 5e-04 4","2"
"21",21,0.993920043912714,0.974770837425522,0.999410724808486,0.666666666666667,14996,15000,4,5e-04,4,1,"15000 4 5e-04 4","3"
"22",22,0.997465643868781,0.968472480175458,1,0.709677419354839,15000,15000,4,5e-04,4,2,"15000 4 5e-04 4","3"
"23",23,0.993242928149118,0.976225177999869,0.999412110523222,0.770833333333333,14988,15000,4,5e-04,4,3,"15000 4 5e-04 4","3"
"24",24,0.994236222381515,0.969959520904957,0.999409448818898,0.76056338028169,15000,15000,4,5e-04,4,4,"15000 4 5e-04 4","3"
"25",25,0.992332193969566,0.970271435349666,0.999803265787921,0.602941176470588,15000,15000,4,5e-04,4,5,"15000 4 5e-04 4","3"
"26",26,0.993440623512613,0.981607678036249,1,0.618181818181818,14996,15000,4,5e-04,4,6,"15000 4 5e-04 4","3"
"27",27,0.993038136192054,0.979101033855438,0.999213990960896,0.741935483870968,14990,15000,4,5e-04,4,7,"15000 4 5e-04 4","3"
"28",28,0.994174955432265,0.979934865310359,0.999803227075954,0.695652173913043,15000,15000,4,5e-04,4,8,"15000 4 5e-04 4","3"
"29",29,0.992510925075091,0.985003080631292,0.999214608285883,0.741379310344828,14994,15000,4,5e-04,4,9,"15000 4 5e-04 4","3"
"30",30,0.991833984549675,0.975945117456261,1,0.65625,15000,15000,4,5e-04,4,10,"15000 4 5e-04 4","3"
"31",31,0.977039613749774,0.960253388332351,0.999803574936162,0.633333333333333,5000,5000,2,0.001,4,1,"5000 2 0.001 4","4"
"32",32,0.981274978389308,0.96470882802249,1,0.67741935483871,5000,5000,2,0.001,4,2,"5000 2 0.001 4","4"
"33",33,0.978165393468018,0.96977064145274,0.999804036841074,0.729166666666667,5000,5000,2,0.001,4,3,"5000 2 0.001 4","4"
"34",34,0.977537316579524,0.965635743595431,0.999606299212598,0.676056338028169,4999,5000,2,0.001,4,4,"5000 2 0.001 4","4"
"35",35,0.979204239364716,0.967022427700177,0.999803265787921,0.558823529411765,5000,5000,2,0.001,4,5,"5000 2 0.001 4","4"
"36",36,0.980932658795351,0.97042600256886,1,0.6,5000,5000,2,0.001,4,6,"5000 2 0.001 4","4"
"37",37,0.977087173361445,0.979982124633143,0.999606995480448,0.693548387096774,5000,5000,2,0.001,4,7,"5000 2 0.001 4","4"
"38",38,0.976739391213075,0.980031825881628,0.999803227075954,0.666666666666667,5000,5000,2,0.001,4,8,"5000 2 0.001 4","4"
"39",39,0.977291947774359,0.975082432276891,0.999410956214412,0.706896551724138,5000,5000,2,0.001,4,9,"5000 2 0.001 4","4"
"40",40,0.97415665673126,0.976143232750147,1,0.640625,5000,5000,2,0.001,4,10,"5000 2 0.001 4","4"
"41",41,0.996830939507966,0.984137039219538,0.999410724808486,0.65,2158,5000,2,0.01,4,1,"5000 2 0.01 4","5"
"42",42,0.996910332732246,0.975017273182513,0.999606995480448,0.741935483870968,2249,5000,2,0.01,4,2,"5000 2 0.01 4","5"
"43",43,0.994761070364137,0.978613478999281,0.998628257887517,0.833333333333333,3576,5000,2,0.01,4,3,"5000 2 0.01 4","5"
"44",44,0.994317391212683,0.970127259620716,0.999606299212598,0.746478873239437,2234,5000,2,0.01,4,4,"5000 2 0.01 4","5"
"45",45,0.993452065215423,0.967476652278066,0.999803265787921,0.632352941176471,2231,5000,2,0.01,4,5,"5000 2 0.01 4","5"
"46",46,0.993493641660653,0.980037819323534,1,0.618181818181818,2517,5000,2,0.01,4,6,"5000 2 0.01 4","5"
"47",47,0.993808930022307,0.985775771905248,0.999410493220672,0.741935483870968,3066,5000,2,0.01,4,7,"5000 2 0.01 4","5"
"48",48,0.996719117059029,0.981558954879113,0.999803227075954,0.710144927536232,3140,5000,2,0.01,4,8,"5000 2 0.01 4","5"
"49",49,0.992613404841437,0.984505440191744,0.999410956214412,0.775862068965517,1917,5000,2,0.01,4,9,"5000 2 0.01 4","5"
"50",50,0.992246289633205,0.976306025162178,1,0.671875,2638,5000,2,0.01,4,10,"5000 2 0.01 4","5"
"51",51,0.989730911223361,0.967624238852878,0.999803574936162,0.65,5000,5000,3,0.001,4,1,"5000 3 0.001 4","6"
"52",52,0.989063566645576,0.964764292370007,1,0.709677419354839,5000,5000,3,0.001,4,2,"5000 3 0.001 4","6"
