"","feature","coverage"
"1","link",1
"2","cites",1
"3","ed_equal",1
"4","PC1",0.634668432086506
"5","PC2",0.634668432086506
"6","PC3",0.634668432086506
"7","PC4",0.634668432086506
"8","PC5",0.634668432086506
"9","PC6",0.634668432086506
"10","PC7",0.634668432086506
"11","PC8",0.634668432086506
"12","PC9",0.634668432086506
"13","PC10",0.634668432086506
"14","adult_mass_g",0.993710691823899
"15","brain_mass_g",0.9958071278826
"16","adult_body_length_mm",0.99685534591195
"17","max_longevity_d",0.9958071278826
"18","female_maturity_d",0.9958071278826
"19","age_first_reproduction_d",0.9958071278826
"20","gestation_length_d",0.9958071278826
"21","litter_size_n",0.9958071278826
"22","litters_per_year_n",0.9958071278826
"23","interbirth_interval_d",0.9958071278826
"24","weaning_age_d",0.9958071278826
"25","generation_length_d",0.9958071278826
"26","dispersal_km",0.933962264150943
"27","dphy_invertebrate",0.9958071278826
"28","dphy_vertebrate",0.9958071278826
"29","dphy_plant",0.9958071278826
"30","det_inv",0.826326823347677
"31","det_vend",0.826326823347677
"32","det_vect",0.826326823347677
"33","det_vfish",0.826326823347677
"34","det_vunk",0.826326823347677
"35","det_scav",0.826326823347677
"36","det_fruit",0.826326823347677
"37","det_nect",0.826326823347677
"38","det_seed",0.826326823347677
"39","det_plantother",0.826326823347677
"40","det_diet_breadth_n",0.989517819706499
"41","upper_elevation_m",0.714884696016772
"42","lower_elevation_m",0.637316561844864
"43","altitude_breadth_m",0.628930817610063
"44","habitat_breadth_n",0.960498731104491
"45","hibernation_torpor",0.9958071278826
"46","fossoriality",0.993710691823899
"47","freshwater",0.984276729559748
"48","marine",0.984276729559748
"49","terrestrial_non.volant",0.984276729559748
"50","island_dwelling",0.734524991724595
"51","disected_by_mountains",0.734524991724595
"52","glaciation",0.734524991724595
"53","trophic_herbivores",0.993710691823899
"54","trophic_omnivores",0.993710691823899
"55","trophic_carnivores",0.993710691823899
"56","activity_nocturnal",0.992662473794549
"57","activity_crepuscular",0.992662473794549
"58","activity_diurnal",0.992662473794549
"59","forager_marine",0.9958071278826
"60","forager_ground",0.9958071278826
"61","forager_scansorial",0.9958071278826
"62","forager_arboreal",0.9958071278826
"63","island_end_marine",0.994758909853249
"64","island_end_mainland",0.994758909853249
"65","island_end_lgbridge",0.994758909853249
"66","island_end_isolated",0.994758909853249
"67","biogeo_afrotropical",1
"68","biogeo_antarctic",1
"69","biogeo_australasian",1
"70","biogeo_indomalayan",1
"71","biogeo_nearctic",1
"72","biogeo_neotropical",1
"73","biogeo_oceanian",1
"74","biogeo_palearctic",1
"75","fam_ABROCOMIDAE",1
"76","fam_AILURIDAE",1
"77","fam_ANOMALURIDAE",1
"78","fam_ANTILOCAPRIDAE",1
"79","fam_AOTIDAE",1
"80","fam_APLODONTIIDAE",1
"81","fam_Archaeolemuridae",1
"82","fam_ATELIDAE",1
"83","fam_BALAENIDAE",1
"84","fam_BALAENOPTERIDAE",1
"85","fam_BATHYERGIDAE",1
"86","fam_BOVIDAE",1
"87","fam_BRADYPODIDAE",1
"88","fam_CALLITRICHIDAE",1
"89","fam_CALOMYSCIDAE",1
"90","fam_CAMELIDAE",1
"91","fam_CANIDAE",1
