"","factor","taxa","tips","node","clade","other","model"
"1",1,"LAGOMORPHA, RODENTIA",514,1352,0.22,0.29,"RT-PCR"
"2",2,"PHOCOENIDAE, MONODONTIDAE, Orcinus, Orcaella, Grampus, Pseudorca, Peponocephala, Globicephala, Feresa, Steno, Sotalia, Tursiops, Lagenodelphis, Sousa, Stenella, Delphinus, Lagenorhynchus, Cephalorhynchus",21,1045,0.45,0.24,"RT-PCR"
"3",3,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",29,1324,0.42,0.24,"RT-PCR"
"4",4,"FELIDAE",17,1185,0.43,0.25,"RT-PCR"
"5",5,"DIATOMYIDAE, CTENODACTYLIDAE, HYSTRICIDAE, THRYONOMYIDAE, PETROMURIDAE, HETEROCEPHALIDAE, BATHYERGIDAE, CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, DINOMYIDAE, CHINCHILLIDAE, CAPROMYIDAE, ECHIMYIDAE, MYOCASTORIDAE, CTENOMYIDAE, OCTODONTIDAE, ABROCOMIDAE",74,1422,0.16,0.26,"RT-PCR"
"6",6,"PERISSODACTYLA",8,1006,0.43,0.25,"RT-PCR"
"7",1,"FELIDAE",17,1185,0.47,0.16,"virus isolation"
"8",2,"TAPIRIDAE, RHINOCEROTIDAE",6,1008,0.55,0.16,"virus isolation"
"9",3,"EULIPOTYPHLA, CARNIVORA, PERISSODACTYLA, CETARTIODACTYLA, PRIMATES, LAGOMORPHA, RODENTIA",894,949,0.15,0.39,"virus isolation"
"10",4,"ZIPHIIDAE, PHYSETERIDAE, PLATANISTIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, NEOBALAENIDAE, BALAENOPTERIDAE, ESCHRICHTIIDAE, BALAENIDAE",40,1028,0.06,0.17,"virus isolation"
"11",5,"PHOCIDAE, ODOBENIDAE, OTARIIDAE",22,1221,0.05,0.17,"virus isolation"
"12",6,"DIATOMYIDAE, CTENODACTYLIDAE, HYSTRICIDAE, THRYONOMYIDAE, PETROMURIDAE, HETEROCEPHALIDAE, BATHYERGIDAE, CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, DINOMYIDAE, CHINCHILLIDAE, CAPROMYIDAE, ECHIMYIDAE, MYOCASTORIDAE, CTENOMYIDAE, OCTODONTIDAE, ABROCOMIDAE",74,1422,0.11,0.17,"virus isolation"
"13",7,"Nesotragus, Neotragus, Aepyceros, Pelea, Redunca, Kobus, Procapra, Ourebia, Raphicerus, Madoqua, Dorcatragus, Saiga, Nanger, Eudorcas, Gazella, Antilope, Litocranius, Antidorcas, Oreotragus, Philantomba, Sylvicapra, Cephalophus, Pantholops, Ovibos, Naemorhedus, Capricornis, Ovis, Nilgiritragus, Hemitragus, Capra, Pseudois, Budorcas, Myotragus, Oreamnos, Rupicapra, Arabitragus, Ammotragus, Connochaetes, Damaliscus, Beatragus, Alcelaphus, Hippotragus, Oryx, Addax",44,1102,0.1,0.17,"virus isolation"
"14",1,"FELIDAE",17,1185,0.08,0.02,"Model 1 (Full)"
"15",2,"LAGOMORPHA, RODENTIA",514,1352,0.02,0.03,"Model 1 (Full)"
"16",3,"PERISSODACTYLA",8,1006,0.06,0.02,"Model 1 (Full)"
"17",4,"PHYSETERIDAE, PLATANISTIDAE, Berardius, Mesoplodon, Hyperoodon, Ziphius, Tasmacetus, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, NEOBALAENIDAE, BALAENOPTERIDAE, ESCHRICHTIIDAE, BALAENIDAE",39,1029,0.04,0.02,"Model 1 (Full)"
"18",1,"FELIDAE",17,1185,0.08,0.02,"Model 2 (Partial)"
"19",2,"PHYSETERIDAE, PLATANISTIDAE, Berardius, Mesoplodon, Hyperoodon, Ziphius, Tasmacetus, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, NEOBALAENIDAE, BALAENOPTERIDAE, ESCHRICHTIIDAE, BALAENIDAE",39,1029,0.05,0.02,"Model 2 (Partial)"
"20",3,"LAGOMORPHA, RODENTIA",514,1352,0.02,0.03,"Model 2 (Partial)"
"21",4,"TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, ZIPHIIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, MOSCHIDAE, BOVIDAE",91,1016,0.02,0.02,"Model 2 (Partial)"
"22",5,"PERISSODACTYLA, CETARTIODACTYLA",11,1005,0.07,0.02,"Model 2 (Partial)"
"23",1,"FELIDAE",17,1185,0.54,0.05,"Model 3 (Host traits only)"
"24",2,"PHYSETERIDAE, PLATANISTIDAE, Berardius, Mesoplodon, Hyperoodon, Ziphius, Tasmacetus, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, NEOBALAENIDAE, BALAENOPTERIDAE, ESCHRICHTIIDAE, BALAENIDAE",39,1029,0.13,0.06,"Model 3 (Host traits only)"
"25",3,"PRIMATES, LAGOMORPHA, RODENTIA",593,1273,0.04,0.09,"Model 3 (Host traits only)"
"26",4,"TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, ZIPHIIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, MOSCHIDAE, BOVIDAE",91,1016,0.03,0.06,"Model 3 (Host traits only)"
"27",5,"PERISSODACTYLA, CETARTIODACTYLA",11,1005,0.2,0.06,"Model 3 (Host traits only)"
